query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q013,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q013,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q013,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q013,pre_doc_top50,simple,weighted,26,24,23,0.9583333333333334,0.8518518518518519
Q013,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q013,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q013,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q013,pre_doc_top50,rrf,weighted,26,24,23,0.9583333333333334,0.8518518518518519
Q013,pre_chunk_top50,rrf,weighted,50,50,44,0.88,0.7857142857142857
Q013,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q013,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q014,pre_doc_top50,simple,rrf,36,37,36,1.0,0.972972972972973
Q014,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q014,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q014,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q014,pre_doc_top50,simple,weighted,36,35,33,0.9428571428571428,0.868421052631579
Q014,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q014,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q014,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q014,pre_doc_top50,rrf,weighted,37,35,34,0.9714285714285714,0.8947368421052632
Q014,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q014,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q014,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q015,pre_doc_top50,simple,rrf,29,29,29,1.0,1.0
Q015,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q015,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q015,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q015,pre_doc_top50,simple,weighted,29,30,29,1.0,0.9666666666666667
Q015,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q015,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q015,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q015,pre_doc_top50,rrf,weighted,29,30,29,1.0,0.9666666666666667
Q015,pre_chunk_top50,rrf,weighted,50,50,48,0.96,0.9230769230769231
Q015,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q015,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q016,pre_doc_top50,simple,rrf,35,35,35,1.0,1.0
Q016,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
