query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q012,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q012,pre_doc_top50,simple,weighted,19,20,19,1.0,0.95
Q012,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q012,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q012,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q012,pre_doc_top50,rrf,weighted,19,20,19,1.0,0.95
Q012,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q012,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q012,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q013,pre_doc_top50,simple,rrf,27,27,27,1.0,1.0
Q013,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q013,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q013,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q013,pre_doc_top50,simple,weighted,27,25,23,0.92,0.7931034482758621
Q013,pre_chunk_top50,simple,weighted,50,50,41,0.82,0.6949152542372882
Q013,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q013,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q013,pre_doc_top50,rrf,weighted,27,25,23,0.92,0.7931034482758621
Q013,pre_chunk_top50,rrf,weighted,50,50,41,0.82,0.6949152542372882
Q013,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q013,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q014,pre_doc_top50,simple,rrf,26,26,26,1.0,1.0
Q014,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q014,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q014,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q014,pre_doc_top50,simple,weighted,26,26,23,0.8846153846153846,0.7931034482758621
Q014,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
