record_id,source_file,title_abstract_token_len,full_token_len,exceeds_512_title_abstract,exceeds_512_full,estimated_chunks_title_abstract,estimated_chunks_full
pmc_001261,PMC000xxxxxx/PMC526392.xml,362,4108,False,True,1,13
pmc_001262,PMC000xxxxxx/PMC526417.xml,409,15124,False,True,2,48
pmc_001263,PMC000xxxxxx/PMC526512.xml,422,13324,False,True,2,42
pmc_001264,PMC000xxxxxx/PMC526754.xml,27,836,False,True,1,3
pmc_001265,PMC000xxxxxx/PMC526755.xml,194,5382,False,True,1,17
pmc_001266,PMC000xxxxxx/PMC526756.xml,174,6156,False,True,1,19
pmc_001267,PMC000xxxxxx/PMC526757.xml,320,6987,False,True,1,22
pmc_001268,PMC000xxxxxx/PMC526758.xml,598,7321,True,True,2,23
pmc_001269,PMC000xxxxxx/PMC526759.xml,127,1052,False,True,1,4
pmc_001270,PMC000xxxxxx/PMC526760.xml,406,2828,False,True,2,9
pmc_001271,PMC000xxxxxx/PMC526761.xml,397,2590,False,True,1,8
pmc_001272,PMC000xxxxxx/PMC526762.xml,264,5840,False,True,1,18
pmc_001273,PMC000xxxxxx/PMC526763.xml,439,4071,False,True,2,13
pmc_001274,PMC000xxxxxx/PMC526764.xml,110,2203,False,True,1,7
pmc_001275,PMC000xxxxxx/PMC526765.xml,123,5142,False,True,1,16
pmc_001276,PMC000xxxxxx/PMC526766.xml,593,6611,True,True,2,21
pmc_001277,PMC000xxxxxx/PMC526767.xml,303,5866,False,True,1,19
pmc_001278,PMC000xxxxxx/PMC526768.xml,314,3857,False,True,1,12
pmc_001279,PMC000xxxxxx/PMC526769.xml,307,6783,False,True,1,21
pmc_001280,PMC000xxxxxx/PMC526770.xml,319,3350,False,True,1,11
pmc_001281,PMC000xxxxxx/PMC526771.xml,157,1712,False,True,1,6
pmc_001282,PMC000xxxxxx/PMC526772.xml,263,4371,False,True,1,14
pmc_001283,PMC000xxxxxx/PMC526773.xml,673,8498,True,True,2,27
pmc_001284,PMC000xxxxxx/PMC526774.xml,391,6422,False,True,1,20
pmc_001285,PMC000xxxxxx/PMC526775.xml,830,6816,True,True,3,22
pmc_001286,PMC000xxxxxx/PMC526776.xml,376,4740,False,True,1,15
pmc_001287,PMC000xxxxxx/PMC526777.xml,269,3140,False,True,1,10
pmc_001288,PMC000xxxxxx/PMC526778.xml,305,4080,False,True,1,13
pmc_001289,PMC000xxxxxx/PMC526779.xml,45,1720,False,True,1,6
pmc_001290,PMC000xxxxxx/PMC526780.xml,29,3212,False,True,1,10
pmc_001291,PMC000xxxxxx/PMC526781.xml,39,3722,False,True,1,12
pmc_001292,PMC000xxxxxx/PMC526782.xml,29,3140,False,True,1,10
pmc_001293,PMC000xxxxxx/PMC526783.xml,37,3448,False,True,1,11
pmc_001294,PMC000xxxxxx/PMC526784.xml,59,4764,False,True,1,15
pmc_001295,PMC000xxxxxx/PMC527872.xml,237,11197,False,True,1,35
pmc_001296,PMC000xxxxxx/PMC527873.xml,268,2161,False,True,1,7
pmc_001297,PMC000xxxxxx/PMC527874.xml,474,8520,False,True,2,27
pmc_001298,PMC000xxxxxx/PMC527875.xml,137,1655,False,True,1,5
pmc_001299,PMC000xxxxxx/PMC527876.xml,234,5404,False,True,1,17
pmc_001300,PMC000xxxxxx/PMC527877.xml,339,6302,False,True,1,20
pmc_001301,PMC000xxxxxx/PMC527878.xml,432,4918,False,True,2,16
pmc_001302,PMC000xxxxxx/PMC528723.xml,276,11773,False,True,1,37
pmc_001303,PMC000xxxxxx/PMC528724.xml,14,736,False,True,1,3
pmc_001304,PMC000xxxxxx/PMC528725.xml,231,3972,False,True,1,13
pmc_001305,PMC000xxxxxx/PMC528726.xml,410,7415,False,True,2,23
pmc_001306,PMC000xxxxxx/PMC528727.xml,362,7660,False,True,1,24
pmc_001307,PMC000xxxxxx/PMC528728.xml,572,11643,True,True,2,37
pmc_001308,PMC000xxxxxx/PMC528729.xml,562,4018,True,True,2,13
pmc_001309,PMC000xxxxxx/PMC528730.xml,335,4384,False,True,1,14
pmc_001310,PMC000xxxxxx/PMC528731.xml,339,6628,False,True,1,21
pmc_001311,PMC000xxxxxx/PMC528732.xml,392,7932,False,True,1,25
pmc_001312,PMC000xxxxxx/PMC528735.xml,358,4892,False,True,1,16
pmc_001313,PMC000xxxxxx/PMC528782.xml,400,4814,False,True,1,15
pmc_001314,PMC000xxxxxx/PMC528784.xml,379,7827,False,True,1,25
pmc_001315,PMC000xxxxxx/PMC528834.xml,483,12852,False,True,2,40
pmc_001316,PMC000xxxxxx/PMC528839.xml,411,5334,False,True,2,17
pmc_001317,PMC000xxxxxx/PMC528844.xml,171,1464,False,True,1,5
pmc_001318,PMC000xxxxxx/PMC528853.xml,130,1550,False,True,1,5
pmc_001319,PMC000xxxxxx/PMC528856.xml,418,2174,False,True,2,7
pmc_001320,PMC000xxxxxx/PMC528858.xml,328,25505,False,True,1,80
pmc_001321,PMC000xxxxxx/PMC529248.xml,427,11687,False,True,2,37
pmc_001322,PMC000xxxxxx/PMC529249.xml,521,7929,True,True,2,25
pmc_001323,PMC000xxxxxx/PMC529250.xml,270,7935,False,True,1,25
pmc_001324,PMC000xxxxxx/PMC529251.xml,628,5065,True,True,2,16
pmc_001325,PMC000xxxxxx/PMC529252.xml,223,7853,False,True,1,25
pmc_001326,PMC000xxxxxx/PMC529253.xml,649,5685,True,True,2,18
